Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
April/March,315,31,1240,1091,184,287,61,9,42,180,44,6,124,251,.263,.341,.451,.792,492,11,10,5,10,3,10,.303,109,123
May,276,27,1035,925,150,239,50,5,37,146,30,6,95,207,.258,.328,.443,.771,410,18,5,1,9,4,6,.293,103,114
June,260,26,981,898,119,219,37,3,45,118,26,5,69,201,.244,.301,.442,.743,397,7,7,1,6,2,5,.264,94,105
July,244,24,914,811,117,206,40,3,34,111,21,5,84,181,.254,.328,.436,.764,354,11,9,0,8,1,4,.285,101,109
August,93,9,323,297,29,69,8,2,9,28,3,1,20,69,.232,.283,.364,.646,108,2,2,1,3,0,4,.270,71,76
