Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
April/March,31,31,134,123,19,25,5,1,5,16,4,0,9,39,.203,.256,.382,.638,47,1,0,1,1,0,1,.250,77,79
May,27,27,111,99,18,29,2,0,6,15,3,2,11,26,.293,.360,.495,.855,49,1,0,0,1,1,1,.338,139,137
June,25,25,104,96,9,24,5,1,3,9,0,1,6,26,.250,.288,.417,.705,40,2,0,0,2,0,1,.304,97,95
July,24,24,98,93,14,24,2,0,2,11,1,0,5,32,.258,.296,.344,.640,32,0,0,0,0,0,0,.373,82,77
August,8,8,29,29,6,9,0,0,2,4,1,0,0,9,.310,.310,.517,.828,15,1,0,0,0,0,2,.389,128,122
