Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
2025 Totals,115,115,476,440,66,111,14,2,18,55,9,3,31,132,.252,.299,.416,.715,183,5,0,1,4,1,5,.316,100,98
Last 7 days,5,5,19,19,4,7,0,0,1,1,1,0,0,4,.368,.368,.526,.895,10,1,0,0,0,0,1,.429,150,140
Last 14 days,10,10,38,38,7,11,1,0,2,6,1,0,0,11,.289,.289,.474,.763,18,1,0,0,0,0,2,.360,111,104
Last 28 days,20,20,76,72,11,18,1,0,2,8,2,0,4,27,.250,.289,.347,.637,25,1,0,0,0,0,2,.372,80,74
Last 365 days,156,156,651,596,103,152,25,2,25,84,20,3,49,169,.255,.309,.430,.739,256,7,0,1,5,1,7,.312,107,106
