Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
April/March,27,27,121,108,17,31,6,2,7,25,1,1,12,35,.287,.355,.574,.929,62,3,0,0,1,0,1,.358,124,159
May,27,27,121,108,16,28,12,0,7,27,0,1,10,28,.259,.314,.565,.879,61,3,0,0,3,0,1,.276,109,140
June,26,26,113,106,11,24,1,1,8,17,1,0,6,31,.226,.265,.481,.747,51,2,0,0,1,0,1,.235,77,103
July,24,24,103,91,12,20,6,0,4,12,1,0,12,30,.220,.311,.418,.728,38,3,0,0,0,1,0,.281,79,100
August,8,8,33,25,3,7,1,0,1,3,0,0,7,4,.280,.424,.440,.864,11,0,0,0,1,0,0,.286,119,139
