Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1st Half,90,76,341,300,45,87,15,3,19,59,4,0,35,77,.290,.375,.550,.925,165,1,6,0,0,1,1,.333,118,157
2nd Half,21,17,79,72,8,11,1,0,3,5,0,0,4,26,.153,.228,.292,.520,21,0,3,0,0,0,2,.186,24,42
