Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
April/March,29,26,113,98,15,27,7,1,5,16,2,0,12,28,.276,.372,.520,.892,51,0,3,0,0,0,0,.338,111,151
May,25,18,88,77,9,18,4,1,2,14,1,0,9,22,.234,.330,.390,.719,30,1,2,0,0,0,0,.302,73,101
June,24,21,91,81,13,25,2,1,7,19,1,0,10,14,.309,.385,.617,1.002,50,0,0,0,0,1,1,.300,134,175
July,24,21,97,86,13,24,2,0,7,12,0,0,7,29,.279,.361,.547,.907,47,0,4,0,0,0,1,.340,113,147
August,9,7,31,30,3,4,1,0,1,3,0,0,1,10,.133,.161,.267,.428,8,0,0,0,0,0,1,.158,0,15
