Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
2025 Totals,115,114,481,448,74,116,31,4,27,78,30,5,20,117,.259,.296,.527,.822,236,1,5,4,4,0,2,.289,100,124
Last 7 days,5,5,20,20,0,2,0,0,0,0,1,0,0,5,.100,.100,.100,.200,2,0,0,0,0,0,0,.133,-47,-45
Last 14 days,11,10,43,39,3,7,3,0,0,2,1,0,1,14,.179,.233,.256,.489,10,0,2,0,1,0,0,.269,27,34
Last 28 days,20,19,80,75,7,17,10,0,2,7,3,1,2,25,.227,.263,.440,.703,33,0,2,0,1,0,0,.306,72,88
Last 365 days,158,157,646,594,103,156,36,4,34,102,34,8,31,159,.263,.305,.508,.814,302,3,8,7,6,2,3,.300,99,124
