Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
April/March,17,16,67,50,13,18,1,1,7,21,0,0,15,6,.360,.507,.840,1.347,42,1,1,0,1,0,0,.289,214,275
May,19,16,72,64,11,13,2,0,2,3,0,0,8,12,.203,.292,.328,.620,21,4,0,0,0,0,1,.220,48,74
June,17,15,60,56,6,13,3,0,0,2,0,0,4,16,.232,.283,.286,.569,16,0,0,0,0,0,1,.325,37,61
July,18,18,73,62,11,18,6,0,4,10,0,0,7,8,.290,.370,.581,.951,36,2,2,0,2,0,0,.269,122,158
August,8,7,28,25,1,8,0,0,0,2,0,0,3,3,.320,.393,.320,.713,8,1,0,0,0,0,0,.364,74,101
