Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1st Half,95,93,423,357,68,100,19,4,17,56,22,1,60,60,.280,.384,.499,.882,178,5,2,0,3,7,1,.293,106,147
2nd Half,19,19,82,63,9,14,2,0,1,6,2,1,16,13,.222,.388,.302,.689,19,1,1,1,0,0,0,.265,65,94
