Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
2025 Totals,107,106,480,416,64,96,19,0,16,55,5,2,59,106,.231,.325,.392,.717,163,6,1,0,4,0,2,.268,100,100
Last 7 days,5,5,20,17,1,5,0,0,1,2,0,0,3,4,.294,.400,.471,.871,8,0,0,0,0,0,0,.333,143,137
Last 14 days,11,10,39,35,4,10,3,0,2,5,0,0,3,6,.286,.333,.543,.876,19,0,0,0,1,0,0,.286,141,134
Last 28 days,21,20,78,69,11,17,4,0,4,9,1,1,8,16,.246,.321,.478,.799,33,1,0,0,1,0,0,.260,121,116
Last 365 days,148,147,669,583,90,142,28,1,22,76,10,2,80,148,.244,.335,.408,.743,238,7,2,0,4,0,3,.288,107,108
