Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
2025 Totals,79,72,300,257,42,70,12,1,13,38,0,0,37,45,.272,.367,.479,.845,123,8,3,0,3,0,2,.282,100,135
Last 7 days,4,4,16,15,0,6,0,0,0,2,0,0,1,1,.400,.438,.400,.838,6,0,0,0,0,0,0,.429,103,133
Last 14 days,9,8,33,30,2,8,0,0,0,2,0,0,3,3,.267,.333,.267,.600,8,1,0,0,0,0,0,.296,47,68
Last 28 days,17,16,66,58,6,15,1,0,1,5,0,0,5,8,.259,.333,.328,.661,19,1,2,0,1,0,0,.280,59,83
Last 365 days,104,96,392,342,49,88,16,1,14,42,0,0,44,58,.257,.344,.433,.777,148,11,3,0,3,0,3,.271,84,118
