Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
2025 Totals,114,112,505,420,77,114,21,4,18,62,24,2,76,73,.271,.384,.469,.854,197,6,3,1,3,7,1,.289,100,138
Last 7 days,4,4,17,15,2,3,0,0,0,1,1,0,1,5,.200,.294,.200,.494,3,0,1,0,0,0,0,.300,19,40
Last 14 days,10,10,42,34,4,8,1,0,0,3,1,0,6,10,.235,.366,.265,.631,9,0,1,1,0,0,0,.333,52,78
Last 28 days,19,19,82,63,9,14,2,0,1,6,2,1,16,13,.222,.388,.302,.689,19,1,1,1,0,0,0,.265,65,94
Last 365 days,132,128,582,483,91,137,23,4,22,71,25,2,86,86,.284,.393,.484,.878,234,6,4,1,4,9,1,.303,106,146
