Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
April/March,31,31,145,122,26,34,8,2,7,27,8,0,22,18,.279,.386,.549,.935,67,2,0,0,1,3,0,.276,118,163
May,27,27,121,101,17,29,1,2,5,12,8,0,18,14,.287,.397,.485,.882,49,3,1,0,1,3,1,.289,107,146
June,25,23,104,90,18,28,9,0,5,13,4,1,13,20,.311,.404,.578,.982,52,0,1,0,0,1,0,.354,128,171
July,23,23,102,78,14,17,3,0,1,9,3,1,21,11,.218,.380,.295,.675,23,1,0,0,1,0,0,.239,62,92
August,8,8,33,29,2,6,0,0,0,1,1,0,2,10,.207,.281,.207,.488,6,0,1,1,0,0,0,.316,17,38
