Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
2025 Totals,112,112,491,438,59,110,26,3,27,84,3,2,47,128,.251,.320,.509,.829,223,11,0,0,6,1,3,.287,100,128
Last 7 days,4,4,17,13,2,5,1,0,1,2,0,0,3,1,.385,.471,.692,1.163,9,0,0,0,1,0,0,.333,183,212
Last 14 days,10,10,42,32,3,8,2,0,1,3,0,0,9,7,.250,.405,.406,.811,13,1,0,0,1,0,0,.280,106,124
Last 28 days,20,20,84,69,6,13,2,0,2,7,1,0,14,19,.188,.321,.304,.626,21,3,0,0,1,0,0,.224,60,74
Last 365 days,152,152,675,593,83,160,34,5,32,103,9,4,75,179,.270,.348,.506,.854,300,15,0,0,7,3,3,.329,108,137
