Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
April/March,27,27,115,105,13,31,5,1,0,14,6,2,7,8,.295,.339,.362,.701,38,0,1,0,2,0,3,.313,96,100
May,27,27,115,107,22,31,10,0,0,10,5,0,7,10,.290,.339,.383,.722,41,1,1,0,0,0,0,.320,101,103
June,26,26,100,95,11,28,2,0,3,11,4,1,3,4,.295,.330,.411,.741,39,0,2,0,0,0,0,.284,106,107
July,24,24,98,88,13,25,1,2,1,9,4,0,7,11,.284,.347,.375,.722,33,1,2,0,1,0,1,.312,101,101
August,9,9,37,34,1,10,1,0,0,3,0,0,3,2,.294,.351,.324,.675,11,0,0,0,0,0,0,.313,89,88
