Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1st Half,62,56,234,199,36,55,11,1,12,33,0,0,32,37,.276,.376,.523,.899,104,7,1,0,2,0,2,.283,112,150
2nd Half,17,16,66,58,6,15,1,0,1,5,0,0,5,8,.259,.333,.328,.661,19,1,2,0,1,0,0,.280,59,83
