Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
April/March,31,31,151,132,24,35,8,0,2,15,1,1,18,25,.265,.351,.371,.722,49,3,0,0,1,0,2,.311,103,106
May,18,18,82,70,12,17,4,0,1,6,2,0,10,24,.243,.341,.343,.684,24,1,1,0,1,0,0,.348,92,93
June,26,26,121,106,16,22,2,0,9,22,1,0,14,33,.208,.298,.481,.779,51,1,0,0,1,0,0,.200,114,114
July,23,22,92,78,9,14,3,0,3,8,1,1,14,19,.179,.304,.333,.638,26,1,0,0,0,0,0,.196,79,77
August,9,9,34,30,3,8,2,0,1,4,0,0,3,5,.267,.324,.433,.757,13,0,0,0,1,0,0,.280,110,106
