Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1st Half,95,95,400,368,55,93,13,2,16,47,7,3,27,105,.253,.301,.429,.730,158,4,0,1,4,1,3,.307,104,103
2nd Half,20,20,76,72,11,18,1,0,2,8,2,0,4,27,.250,.289,.347,.637,25,1,0,0,0,0,2,.372,80,74
