Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1st Half,86,86,402,347,53,79,15,0,12,46,4,1,51,90,.228,.326,.375,.701,130,5,1,0,3,0,2,.270,96,97
2nd Half,21,20,78,69,11,17,4,0,4,9,1,1,8,16,.246,.321,.478,.799,33,1,0,0,1,0,0,.260,121,116
