Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
April/March,31,31,130,120,23,33,10,1,6,21,12,1,6,28,.275,.315,.525,.840,63,0,1,3,0,0,0,.314,106,134
May,27,27,115,108,20,29,4,2,9,29,5,2,5,34,.269,.296,.593,.888,64,0,0,0,2,0,1,.299,113,141
June,25,25,104,96,16,23,6,0,6,12,8,1,4,21,.240,.282,.490,.771,47,1,2,1,1,0,1,.243,88,111
July,23,23,98,91,15,28,10,1,6,16,4,1,5,21,.308,.347,.637,.984,58,0,1,0,1,0,0,.338,138,164
August,9,8,34,33,0,3,1,0,0,0,1,0,0,13,.091,.118,.121,.239,4,0,1,0,0,0,0,.150,-37,-34
