Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1st Half,974,96,3713,3321,512,849,166,20,142,501,108,19,331,743,.256,.325,.446,.771,1481,39,24,7,29,10,21,.287,103,115
2nd Half,214,21,780,701,87,171,30,2,25,82,16,4,61,166,.244,.310,.399,.709,280,10,9,1,7,0,8,.282,87,93
