Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
April/March,18,16,68,58,11,10,1,0,1,3,0,0,10,18,.172,.294,.241,.535,14,0,0,0,0,0,0,.231,62,55
May,11,11,43,39,6,14,5,0,0,4,5,0,4,7,.359,.419,.487,.906,19,0,0,0,0,0,0,.438,168,154
June,24,23,89,83,8,16,5,0,1,6,5,1,4,17,.193,.247,.289,.536,24,0,2,0,0,0,0,.231,58,50
July,22,18,72,66,10,15,3,0,4,12,4,1,4,9,.227,.264,.455,.718,30,1,0,0,2,0,1,.200,107,94
August,8,7,23,22,5,6,1,1,3,5,0,0,1,6,.273,.304,.818,1.123,18,0,0,0,0,0,1,.231,213,191
