Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
2025 Totals,111,93,420,372,53,98,16,3,22,64,4,0,39,103,.263,.348,.500,.848,186,1,9,0,0,1,3,.308,100,134
Last 7 days,5,4,18,18,2,3,1,0,1,3,0,0,0,6,.167,.167,.389,.556,7,0,0,0,0,0,0,.182,26,45
Last 14 days,11,9,39,38,4,5,1,0,2,4,0,0,1,11,.132,.154,.316,.470,12,0,0,0,0,0,1,.120,8,24
Last 28 days,21,17,79,72,8,11,1,0,3,5,0,0,4,26,.153,.228,.292,.520,21,0,3,0,0,0,2,.186,24,42
Last 365 days,151,129,572,506,71,126,21,4,27,84,4,0,54,137,.249,.334,.466,.800,236,5,11,0,1,1,3,.289,89,123
