Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1st Half,63,58,232,207,28,41,11,0,2,15,11,2,21,45,.198,.276,.280,.556,58,1,2,0,2,0,0,.241,66,58
2nd Half,20,17,63,61,12,20,4,1,7,15,3,0,2,12,.328,.349,.770,1.120,47,0,0,0,0,0,2,.310,216,194
